               Date               Cb1          Cb2          Cb3          Cb4          Cb5          Cb6          Cb7          Cb8          
27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:31 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

27/07/2014 5:53:32 CH    0         0         0         0         0         0         0         0

